orth_residual,orth_type,temporal_type,INJECTION_DIRECTORY,DUAL_CASE,seed,microservice_name,num_users,model_name,SEQ_LEN,avg_recall,service_MRR_mean,service_Hit@5_mean,train_time,train_time_per_epoch,total_epochs_used,avg_total_infer_time_over_all_tests,num_params,num_trainable_params,model_size_mb,peak_memory_mb,energy_joules
simple,fixed,mlp,23June_WithDisk_RAMP_concurrent_1000_users,True,1,sock-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.69, 'Avg@5-CPU (Service):     ': 0.57, 'Avg@5-DISK (Metric):     ': 0.04, 'Avg@5-DISK (Service):    ': 0.54, 'Avg@5-MEM (Metric):      ': 0.71, 'Avg@5-MEM (Service):     ': 0.59, 'Avg@5-DUAL_MACRO (Service)': 0.57, 'Avg@5-DUAL_MACRO (Metric)': 0.48, 'Avg@5-OVERALL (Dual Joint)': 0.0}",0.5257936507936508,0.6190476190476191,8.320808410644531e-05,8.320808410644531e-05,0,2.3567620856421336,0,0,0.0,10.5048828125,271.5774411156178
simple,fixed,mlp,23June_WithDisk_RAMP_concurrent_1000_users,True,1,robot-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.54, 'Avg@5-CPU (Service):     ': 0.82, 'Avg@5-DISK (Metric):     ': 0.12, 'Avg@5-DISK (Service):    ': 0.74, 'Avg@5-MEM (Metric):      ': 0.41, 'Avg@5-MEM (Service):     ': 0.79, 'Avg@5-DUAL_MACRO (Service)': 0.78, 'Avg@5-DUAL_MACRO (Metric)': 0.35, 'Avg@5-OVERALL (Dual Joint)': 0.0}",0.6595500459136823,0.9393939393939394,0.00010228157043457031,0.00010228157043457031,0,1.6899190021283699,0,0,0.0,8.2333984375,155.21320213317873
simple,fixed,mlp,23June_WithDisk_RAMP_1000_users,False,2,online-boutique,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.45, 'Avg@5-CPU (Service):     ': 0.73, 'Avg@5-DISK (Metric):     ': 0.55, 'Avg@5-DISK (Service):    ': 0.71, 'Avg@5-MEM (Metric):      ': 0.53, 'Avg@5-MEM (Service):     ': 0.73, 'Avg@5-OVERALL (Service)': 0.72, 'Avg@5-OVERALL (Metric)': 0.51}",0.67358214176396,0.8484848484848485,8.630752563476562e-05,8.630752563476562e-05,0,1.430555076310129,0,0,0.0,8.2333984375,135.77403268432616
simple,fixed,mlp,23June_WithDisk_RAMP_1000_users,False,2,sock-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.73, 'Avg@5-CPU (Service):     ': 0.53, 'Avg@5-DISK (Metric):     ': 0.99, 'Avg@5-DISK (Service):    ': 0.64, 'Avg@5-MEM (Metric):      ': 0.8, 'Avg@5-MEM (Service):     ': 0.5, 'Avg@5-OVERALL (Service)': 0.56, 'Avg@5-OVERALL (Metric)': 0.84}",0.5410997732426304,0.5952380952380952,0.00010776519775390625,0.00010776519775390625,0,2.3585672775904336,0,0,0.0,10.5048828125,222.91520631408693
simple,fixed,mlp,23June_WithDisk_RAMP_1000_users,False,2,robot-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.6, 'Avg@5-CPU (Service):     ': 0.64, 'Avg@5-DISK (Metric):     ': 0.84, 'Avg@5-DISK (Service):    ': 0.96, 'Avg@5-MEM (Metric):      ': 0.29, 'Avg@5-MEM (Service):     ': 0.62, 'Avg@5-OVERALL (Service)': 0.74, 'Avg@5-OVERALL (Metric)': 0.58}",0.6367134548952731,0.9090909090909091,9.489059448242188e-05,9.489059448242188e-05,0,1.43769054701834,0,0,0.0,8.2333984375,137.91020893001556
simple,fixed,mlp,23June_WithDisk_RAMP_concurrent_1000_users,True,2,online-boutique,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.42, 'Avg@5-CPU (Service):     ': 0.73, 'Avg@5-DISK (Metric):     ': 0.22, 'Avg@5-DISK (Service):    ': 0.71, 'Avg@5-MEM (Metric):      ': 0.33, 'Avg@5-MEM (Service):     ': 0.65, 'Avg@5-DUAL_MACRO (Service)': 0.7, 'Avg@5-DUAL_MACRO (Metric)': 0.32, 'Avg@5-OVERALL (Dual Joint)': 0.0}",0.6537669319927384,0.7741935483870968,8.511543273925781e-05,8.511543273925781e-05,0,1.2975951856182468,0,0,0.0,8.2333984375,120.86831881785393
simple,fixed,mlp,23June_WithDisk_RAMP_concurrent_1000_users,True,2,sock-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.69, 'Avg@5-CPU (Service):     ': 0.57, 'Avg@5-DISK (Metric):     ': 0.04, 'Avg@5-DISK (Service):    ': 0.54, 'Avg@5-MEM (Metric):      ': 0.71, 'Avg@5-MEM (Service):     ': 0.59, 'Avg@5-DUAL_MACRO (Service)': 0.57, 'Avg@5-DUAL_MACRO (Metric)': 0.48, 'Avg@5-OVERALL (Dual Joint)': 0.0}",0.5257936507936508,0.6190476190476191,8.654594421386719e-05,8.654594421386719e-05,0,2.427686878613063,0,0,0.0,10.5048828125,228.08450995135308
simple,fixed,mlp,23June_WithDisk_RAMP_concurrent_1000_users,True,2,robot-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.54, 'Avg@5-CPU (Service):     ': 0.82, 'Avg@5-DISK (Metric):     ': 0.12, 'Avg@5-DISK (Service):    ': 0.74, 'Avg@5-MEM (Metric):      ': 0.41, 'Avg@5-MEM (Service):     ': 0.79, 'Avg@5-DUAL_MACRO (Service)': 0.78, 'Avg@5-DUAL_MACRO (Metric)': 0.35, 'Avg@5-OVERALL (Dual Joint)': 0.0}",0.6595500459136823,0.9393939393939394,9.274482727050781e-05,9.274482727050781e-05,0,1.42353351910909,0,0,0.0,8.2333984375,134.10216787934303
simple,fixed,mlp,23June_WithDisk_RAMP_1000_users,False,3,online-boutique,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.45, 'Avg@5-CPU (Service):     ': 0.73, 'Avg@5-DISK (Metric):     ': 0.55, 'Avg@5-DISK (Service):    ': 0.71, 'Avg@5-MEM (Metric):      ': 0.53, 'Avg@5-MEM (Service):     ': 0.73, 'Avg@5-OVERALL (Service)': 0.72, 'Avg@5-OVERALL (Metric)': 0.51}",0.67358214176396,0.8484848484848485,0.00010442733764648438,0.00010442733764648438,0,1.7938532540292451,0,0,0.0,8.2333984375,161.65039249277115
simple,fixed,mlp,23June_WithDisk_RAMP_1000_users,False,3,sock-shop,1000,BARO,32,"{'Avg@5-CPU (Metric):      ': 0.73, 'Avg@5-CPU (Service):     ': 0.53, 'Avg@5-DISK (Metric):     ': 0.99, 'Avg@5-DISK (Service):    ': 0.64, 'Avg@5-MEM (Metric):      ': 0.8, 'Avg@5-MEM (Service):     ': 0.5, 'Avg@5-OVERALL (Service)': 0.56, 'Avg@5-OVERALL (Metric)': 0.84}",0.5410997732426304,0.5952380952380952,7.724761962890625e-05,7.724761962890625e-05,0,2.0252057995115007,0,0,0.0,10.5048828125,194.71743768811226
