timestamp,web_cpu_usage,web_cpu_throttle,web_cpu_limit,web_mem_usage,web_mem_limit,web_disk_read,web_disk_write,web_net_rx,web_net_tx,cart_cpu_usage,cart_cpu_throttle,cart_cpu_limit,cart_mem_usage,cart_mem_limit,cart_disk_read,cart_disk_write,cart_net_rx,cart_net_tx,catalogue_cpu_usage,catalogue_cpu_throttle,catalogue_cpu_limit,catalogue_mem_usage,catalogue_mem_limit,catalogue_disk_read,catalogue_disk_write,catalogue_net_rx,catalogue_net_tx,user_cpu_usage,user_cpu_throttle,user_cpu_limit,user_mem_usage,user_mem_limit,user_disk_read,user_disk_write,user_net_rx,user_net_tx,payment_cpu_usage,payment_cpu_throttle,payment_cpu_limit,payment_mem_usage,payment_mem_limit,payment_disk_read,payment_disk_write,payment_net_rx,payment_net_tx,shipping_cpu_usage,shipping_cpu_throttle,shipping_cpu_limit,shipping_mem_usage,shipping_mem_limit,shipping_disk_read,shipping_disk_write,shipping_net_rx,shipping_net_tx,ratings_cpu_usage,ratings_cpu_throttle,ratings_cpu_limit,ratings_mem_usage,ratings_mem_limit,ratings_disk_read,ratings_disk_write,ratings_net_rx,ratings_net_tx,dispatch_cpu_usage,dispatch_cpu_throttle,dispatch_cpu_limit,dispatch_mem_usage,dispatch_mem_limit,dispatch_disk_read,dispatch_disk_write,dispatch_net_rx,dispatch_net_tx,mysql_cpu_usage,mysql_cpu_throttle,mysql_cpu_limit,mysql_mem_usage,mysql_mem_limit,mysql_disk_read,mysql_disk_write,mysql_net_rx,mysql_net_tx,redis_cpu_usage,redis_cpu_throttle,redis_cpu_limit,redis_mem_usage,redis_mem_limit,redis_disk_read,redis_disk_write,redis_net_rx,redis_net_tx,rabbitmq_cpu_usage,rabbitmq_cpu_throttle,rabbitmq_cpu_limit,rabbitmq_mem_usage,rabbitmq_mem_limit,rabbitmq_disk_read,rabbitmq_disk_write,rabbitmq_net_rx,rabbitmq_net_tx
1782233060,0.024029362394444635,0.0,0.5,61243392.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.04812537736287133,0.010135135135135134,0.5,97091584.0,268435456.0,0.0,0.0,19256.161842940117,56161.306066669924,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,16.13268523841879,403.1777557100298,0.0015067867668511175,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.08305026525705,22.670890424029615,0.0009342696760073705,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,7.271468144044322,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,7627.276363470177,7564.00473754309,0.018279970922602914,0.10801393728222995,0.2,107180032.0,536870912.0,0.0,0.0,19.413220256201004,18.998210797042315
1782233061,0.024029362394444635,0.0,0.5,61243392.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.04812537736287133,0.010135135135135134,0.5,97091584.0,268435456.0,0.0,0.0,19256.161842940117,56161.306066669924,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,16.13268523841879,403.1777557100298,0.0015067867668511175,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.08305026525705,22.670890424029615,0.0009342696760073705,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.2781886241212455,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.018279970922602914,0.10801393728222995,0.2,107180032.0,536870912.0,0.0,0.0,19.803642394341818,19.380286618690807
1782233062,0.024029362394444635,0.0,0.5,61243392.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.04812537736287133,0.010135135135135134,0.5,97091584.0,268435456.0,0.0,0.0,19256.161842940117,56161.306066669924,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,16.13268523841879,403.1777557100298,0.0015067867668511175,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.08305026525705,22.670890424029615,0.0009342696760073705,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.2781886241212455,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.018279970922602914,0.10801393728222995,0.2,107180032.0,536870912.0,0.0,0.0,20.194064532482628,19.762362440339295
1782233063,0.024029362394444635,0.0,0.5,61243392.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.04812537736287133,0.010135135135135134,0.5,97091584.0,268435456.0,0.0,0.0,19256.161842940117,56161.306066669924,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015067867668511175,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009342696760073705,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.2781886241212455,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.018279970922602914,0.10801393728222995,0.2,107180032.0,536870912.0,0.0,0.0,20.58448667062344,20.144438261987784
1782233064,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,19256.161842940117,56161.306066669924,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009342696760073705,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.2781886241212455,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,23.425328288448696,22.92454929890941
1782233065,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,29347.150840077004,83112.9571831723,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.022543156078570516,0.0,0.5,57925632.0,268435456.0,22131686.291935124,22131686.291935124,1852.7345831516736,5878.288039529139,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2583.7380937362013,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0007871767011006433,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.2781886241212455,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,23.425328288448696,22.92454929890941
1782233066,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,36375.21428081644,94188.40712212292,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,29347.150840077004,83112.9571831723,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.025195873831855474,0.0066445182724252485,0.5,61063168.0,268435456.0,22131686.291935124,22131686.291935124,1577.263829546739,5004.284579518481,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2555.518968475416,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009384033173637257,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.0492171094677258,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,20.380686314513934,19.94499468308727
1782233067,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,52854.17809309814,130289.1845508749,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,29347.150840077004,83112.9571831723,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.01725275021328255,0.008888888888888889,0.5,61063168.0,268435456.0,22131686.291935124,22131686.291935124,1546.3849198275443,4906.3131121929955,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2555.518968475416,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009384033173637257,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,1.0279139657323715,0.0,0.005685473931331181,0.0,0.2,5066752.0,104857600.0,0.0,0.0,9104.38733939204,9028.86242557192,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,19.990264176373124,19.56291886143878
1782233068,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,52854.17809309814,130289.1845508749,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,29347.150840077004,83112.9571831723,0.10428796635707434,0.017326732673267328,0.5,95973376.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.01725275021328255,0.008888888888888889,0.5,61063168.0,268435456.0,17104763.213022426,17104763.213022426,1515.5060101083498,4808.34164486751,0.0005523842888347683,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2527.297241710277,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,0.943883857338697,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009384033173637257,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,0.7889546351084814,0.0,0.006492329496009442,0.0,0.2,5066752.0,104857600.0,0.0,0.0,7526.217664002925,7463.784364619241,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,19.59984203823231,19.18084303979029
1782233069,0.03399154229799327,0.0,0.5,60981248.0,268435456.0,0.0,0.0,52854.17809309814,130289.1845508749,0.048125377362871334,0.010135135135135136,0.5,97091584.0,268435456.0,0.0,0.0,29347.150840077004,83112.9571831723,0.08877842089896144,0.015053763440860214,0.5,95969280.0,268435456.0,0.0,0.0,34040.25953544957,122740.59972514476,0.01725275021328255,0.008888888888888889,0.5,61063168.0,268435456.0,0.0,0.0,1284.75,3630.4750000000004,0.0006702157615490431,0.0,0.5,83283968.0,268435456.0,0.0,0.0,11.671263099834528,256.74572531715387,0.0015084583083353155,0.0,1.0,1287053312.0,2147483648.0,0.0,2527.297241710277,2312.37322515213,1.8321010272852192,,,0.5,,268435456.0,0.0,0.0,1.4224269312832323,0.0,0.0002586158828197006,0.0,0.2,3375104.0,104857600.0,0.0,0.0,24.80096225442465,22.910819634572427,0.0009384033173637257,0.0,0.2,429711360.0,1073741824.0,0.0,0.0,0.7889546351084814,0.0,0.006492329496009442,0.0,0.2,5066752.0,104857600.0,0.0,0.0,8115.573159731754,8217.773246009647,0.010135170658433671,0.03146853146853147,0.2,107180032.0,536870912.0,0.0,0.0,21.18636009204846,21.148323538920906
