timestamp,web_cpu_usage,web_cpu_throttle,web_cpu_limit,web_mem_usage,web_mem_limit,web_disk_read,web_disk_write,web_net_rx,web_net_tx,cart_cpu_usage,cart_cpu_throttle,cart_cpu_limit,cart_mem_usage,cart_mem_limit,cart_disk_read,cart_disk_write,cart_net_rx,cart_net_tx,catalogue_cpu_usage,catalogue_cpu_throttle,catalogue_cpu_limit,catalogue_mem_usage,catalogue_mem_limit,catalogue_disk_read,catalogue_disk_write,catalogue_net_rx,catalogue_net_tx,user_cpu_usage,user_cpu_throttle,user_cpu_limit,user_mem_usage,user_mem_limit,user_disk_read,user_disk_write,user_net_rx,user_net_tx,payment_cpu_usage,payment_cpu_throttle,payment_cpu_limit,payment_mem_usage,payment_mem_limit,payment_disk_read,payment_disk_write,payment_net_rx,payment_net_tx,shipping_cpu_usage,shipping_cpu_throttle,shipping_cpu_limit,shipping_mem_usage,shipping_mem_limit,shipping_disk_read,shipping_disk_write,shipping_net_rx,shipping_net_tx,ratings_cpu_usage,ratings_cpu_throttle,ratings_cpu_limit,ratings_mem_usage,ratings_mem_limit,ratings_disk_read,ratings_disk_write,ratings_net_rx,ratings_net_tx,dispatch_cpu_usage,dispatch_cpu_throttle,dispatch_cpu_limit,dispatch_mem_usage,dispatch_mem_limit,dispatch_disk_read,dispatch_disk_write,dispatch_net_rx,dispatch_net_tx,mysql_cpu_usage,mysql_cpu_throttle,mysql_cpu_limit,mysql_mem_usage,mysql_mem_limit,mysql_disk_read,mysql_disk_write,mysql_net_rx,mysql_net_tx,redis_cpu_usage,redis_cpu_throttle,redis_cpu_limit,redis_mem_usage,redis_mem_limit,redis_disk_read,redis_disk_write,redis_net_rx,redis_net_tx,rabbitmq_cpu_usage,rabbitmq_cpu_throttle,rabbitmq_cpu_limit,rabbitmq_mem_usage,rabbitmq_mem_limit,rabbitmq_disk_read,rabbitmq_disk_write,rabbitmq_net_rx,rabbitmq_net_tx
1782410103,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716846,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.05860398851205272,0.02592592592592593,0.5,71938048.0,268435456.0,0.0,0.0,14987.903777382606,53826.62732300237,0.015234730628781501,0.003968253968253968,0.5,59781120.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0004482199301281369,0.0,0.5,71098368.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012723949154572816,0.0,1.0,1289003008.0,2147483648.0,0.0,418.3718634026762,2842.8114681062943,1.4675821583940456,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.0002125350554610786,0.0,0.2,3452928.0,104857600.0,0.0,0.0,24.17548780487805,19.698545618789524,0.0011409259971790155,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,279.22172472789487,245.8592697753995,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,5290.248286709359,5349.249148035801,0.009636723793866897,0.03314917127071823,0.2,108867584.0,536870912.0,0.0,0.0,22.910884437923173,22.133045768734423
1782410104,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716846,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.05860398851205272,0.02592592592592593,0.5,71938048.0,268435456.0,0.0,0.0,14987.903777382606,53826.62732300237,0.014930662396763826,0.003968253968253968,0.5,59781120.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0004482199301281369,0.0,0.5,71098368.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012723949154572816,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1524.2683110003375,1.7586744976104107,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.00020833349164073593,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.687682926829268,19.30107497741644,0.0011409259971790155,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,279.22172472789487,245.8592697753995,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,5290.248286709359,5349.249148035801,0.009220459175680033,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,22.910884437923173,22.133045768734423
1782410105,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716846,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.04874508836132719,0.02592592592592593,0.5,71938048.0,268435456.0,0.0,0.0,14987.903777382604,53826.627323002365,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0005577808150401271,0.0,0.5,71098368.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012723949154572816,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.00020413192782039327,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011409259971790155,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,279.22172472789487,245.8592697753995,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,5290.248286709359,5349.249148035801,0.009220459175680033,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410106,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,14987.903777382604,53826.627323002365,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0004902722931175899,0.0,0.5,71098368.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012723949154572816,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,279.22172472789487,245.8592697753995,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,5290.248286709359,5349.249148035801,0.009220459175680033,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410107,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,14987.903777382604,53826.627323002365,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0004809759462002544,0.0,0.5,71098368.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0010940824575615352,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,5290.248286709359,5349.249148035801,0.009220459175680033,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410108,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,14987.903777382604,53826.627323002365,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0008463914854603981,0.0,0.5,71348224.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012757160777930993,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,2.811119539511847,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,4596.3217263364395,4608.190289357528,0.009220459175680033,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410109,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,11634.93356219709,42187.88220247711,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,4328.9249246442505,16256.957263359582,0.0008463914854603981,0.0,0.5,71348224.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012757160777930993,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,1.630421393841167,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.00328198068266205,0.0,0.2,5521408.0,104857600.0,0.0,0.0,4596.3217263364395,4608.190289357528,0.009220459175680035,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410110,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,64364.20392969892,149430.52348866797,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,43808.187059025986,126651.9747031492,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,14079.625947558096,51052.255498943705,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,3571.1891920196886,13007.74990836257,0.0008463914854603981,0.0,0.5,71348224.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012757160777930993,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,6.70941125553547,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.0031949335307559267,0.0,0.2,5521408.0,104857600.0,0.0,0.0,4596.3217263364395,4608.190289357528,0.009220459175680035,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410111,0.03258407731247428,0.0,0.5,63115264.0,268435456.0,0.0,0.0,54816.36828644501,128095.28177087926,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,15666.92112854429,45028.66455885457,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,14079.625947558096,51052.255498943705,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,3571.1891920196886,13007.74990836257,0.0008463914854603981,0.0,0.5,71348224.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012757160777930993,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1796.609332971399,2.0728968733805493,,,0.5,,268435456.0,0.0,0.0,6.863400141555001,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.0031949335307559267,0.0,0.2,5521408.0,104857600.0,0.0,0.0,4596.3217263364395,4608.190289357528,0.009220459175680035,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
1782410112,0.02960214317083733,0.0,0.5,62504960.0,268435456.0,0.0,0.0,54816.36828644501,128095.28177087926,0.08117612026716844,0.0237467018469657,0.5,92950528.0,268435456.0,0.0,0.0,15981.281221417012,45932.174256549166,0.055282100014305204,0.01690821256038647,0.5,85708800.0,268435456.0,0.0,0.0,12411.466546519487,47019.7567019599,0.007935574037161641,0.0,0.5,60997632.0,268435456.0,0.0,0.0,3571.1891920196886,13007.74990836257,0.0008463914854603981,0.0,0.5,71348224.0,268435456.0,0.0,0.0,18.772874943455196,242.32018752313195,0.0012757160777930993,0.0,1.0,1289003008.0,2147483648.0,0.0,512.7477571458377,1529.2508499745986,1.6413302590957053,,,0.5,,268435456.0,0.0,0.0,7.017389027574532,0.0,0.00027266239816044045,0.0,0.2,3452928.0,104857600.0,0.0,0.0,23.735921658488074,20.147430770228492,0.0011638433713515187,0.0,0.2,429019136.0,1073741824.0,0.0,0.0,2.0875270260195333,0.0,0.0031949335307559267,0.0,0.2,5521408.0,104857600.0,0.0,0.0,4596.3217263364395,4608.190289357528,0.009220459175680035,0.029520295202952032,0.2,108867584.0,536870912.0,0.0,0.0,23.08570873125805,21.82206993754708
