timestamp,front-end_cpu_usage,front-end_cpu_throttle,front-end_cpu_limit,front-end_mem_usage,front-end_mem_limit,front-end_disk_read,front-end_disk_write,front-end_net_rx,front-end_net_tx,catalogue_cpu_usage,catalogue_cpu_throttle,catalogue_cpu_limit,catalogue_mem_usage,catalogue_mem_limit,catalogue_disk_read,catalogue_disk_write,catalogue_net_rx,catalogue_net_tx,carts_cpu_usage,carts_cpu_throttle,carts_cpu_limit,carts_mem_usage,carts_mem_limit,carts_disk_read,carts_disk_write,carts_net_rx,carts_net_tx,orders_cpu_usage,orders_cpu_throttle,orders_cpu_limit,orders_mem_usage,orders_mem_limit,orders_disk_read,orders_disk_write,orders_net_rx,orders_net_tx,payment_cpu_usage,payment_cpu_throttle,payment_cpu_limit,payment_mem_usage,payment_mem_limit,payment_disk_read,payment_disk_write,payment_net_rx,payment_net_tx,shipping_cpu_usage,shipping_cpu_throttle,shipping_cpu_limit,shipping_mem_usage,shipping_mem_limit,shipping_disk_read,shipping_disk_write,shipping_net_rx,shipping_net_tx,user_cpu_usage,user_cpu_throttle,user_cpu_limit,user_mem_usage,user_mem_limit,user_disk_read,user_disk_write,user_net_rx,user_net_tx,queue-master_cpu_usage,queue-master_cpu_throttle,queue-master_cpu_limit,queue-master_mem_usage,queue-master_mem_limit,queue-master_disk_read,queue-master_disk_write,queue-master_net_rx,queue-master_net_tx,catalogue-db_cpu_usage,catalogue-db_cpu_throttle,catalogue-db_cpu_limit,catalogue-db_mem_usage,catalogue-db_mem_limit,catalogue-db_disk_read,catalogue-db_disk_write,catalogue-db_net_rx,catalogue-db_net_tx,carts-db_cpu_usage,carts-db_cpu_throttle,carts-db_cpu_limit,carts-db_mem_usage,carts-db_mem_limit,carts-db_disk_read,carts-db_disk_write,carts-db_net_rx,carts-db_net_tx,orders-db_cpu_usage,orders-db_cpu_throttle,orders-db_cpu_limit,orders-db_mem_usage,orders-db_mem_limit,orders-db_disk_read,orders-db_disk_write,orders-db_net_rx,orders-db_net_tx,user-db_cpu_usage,user-db_cpu_throttle,user-db_cpu_limit,user-db_mem_usage,user-db_mem_limit,user-db_disk_read,user-db_disk_write,user-db_net_rx,user-db_net_tx,session-db_cpu_usage,session-db_cpu_throttle,session-db_cpu_limit,session-db_mem_usage,session-db_mem_limit,session-db_disk_read,session-db_disk_write,session-db_net_rx,session-db_net_tx,rabbitmq_cpu_usage,rabbitmq_cpu_throttle,rabbitmq_cpu_limit,rabbitmq_mem_usage,rabbitmq_mem_limit,rabbitmq_disk_read,rabbitmq_disk_write,rabbitmq_net_rx,rabbitmq_net_tx
1782224187,0.002330860713894914,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,366.2756534418595,8907.745543972667,0.0004936659108087581,0.0,0.1,14094336.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,2934.3284961641557,3.4661244107588502,0.0015755867393834565,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.825726766079235,19.46829341768339,0.0008814715833168316,0.0,0.1,5156864.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,233.82398997807704,765.1738177262762,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,610.0886810431293,683.3642201604814,0.0023142874148139856,0.0,0.3,396296192.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0011836920624174404,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004997532300777411,0.0,0.5,95703040.0,536870912.0,0.0,3381.052333671375,4.2906123699886995,2.873177926331718,0.00506409582237762,0.0,0.5,86851584.0,536870912.0,0.0,3330.4284374022727,20.52088289443743,40.690097432821,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1471.234748540215,328.8748676505542,360.2497893212904,0.002771882166952089,0.0,0.25,11739136.0,268435456.0,0.0,0.0,176.5058599073317,193.513218860725,0.025118505439193552,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224188,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,366.2756534418595,8907.745543972667,0.0004936659108087581,0.0,0.1,14094336.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,2934.3284961641557,3.4661244107588502,0.0015755867393834565,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.825726766079235,19.46829341768339,0.0008814715833168316,0.0,0.1,5156864.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,208.47900894700618,688.6166551961459,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0023142874148139856,0.0,0.3,396296192.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0011836920624174404,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004997532300777411,0.0,0.5,95703040.0,536870912.0,0.0,2872.9834778529857,4.2906123699886995,2.873177926331718,0.00506409582237762,0.0,0.5,86851584.0,536870912.0,0.0,3330.4284374022727,20.52088289443743,40.690097432821,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,328.8748676505542,360.2497893212904,0.002771882166952089,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.025118505439193552,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224189,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,4066.216634030712,15132.45044487959,0.0004936659108087581,0.0,0.1,14094336.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,2305.825834189135,4.073036152547388,0.0015755867393834565,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.82572676607923,19.468293417683388,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,208.47900894700618,688.6166551961459,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0023142874148139856,0.0,0.3,396296192.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0011832711116922464,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004997532300777411,0.0,0.5,95703040.0,536870912.0,0.0,2856.7831929914096,4.2906123699886995,2.873177926331718,0.00506409582237762,0.0,0.5,86851584.0,536870912.0,0.0,3330.4284374022727,20.52088289443743,40.690097432821,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,328.8748676505542,360.2497893212904,0.002771882166952089,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.025118505439193552,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224190,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,4066.216634030712,15132.45044487959,0.0004936659108087581,0.0,0.1,14094336.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,2305.825834189135,4.073036152547388,0.0013090893723062397,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.82572676607923,19.468293417683388,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,208.47900894700618,688.6166551961459,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0011832711116922464,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004997532300777411,0.0,0.5,95703040.0,536870912.0,0.0,2882.8216151944675,4.2906123699886995,2.873177926331718,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,20.52088289443743,40.690097432821,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,328.8748676505542,360.2497893212904,0.0028086805231919937,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.025118505439193552,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224191,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0012828295933165154,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.82572676607923,19.468293417683388,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,208.47900894700618,688.6166551961459,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0009834314118163223,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004997532300777411,0.0,0.5,95703040.0,536870912.0,0.0,3364.3105228574113,1.9657433845266423,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,20.970394736842103,41.01562499999999,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,344.7314277941202,371.32509224464815,0.0028086805231919937,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.02042511177315178,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224192,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0015971213369883038,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,37.82572676607923,19.468293417683388,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,208.47900894700618,688.6166551961459,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,230.4384428113126,765.6481081204068,0.0015403546015818395,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.00403534439064141,0.0,0.5,95703040.0,536870912.0,0.0,3364.3105228574113,2.0190997909005697,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,17.093423009403686,32.89066228349714,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,293.50439820157106,322.5632371293518,0.0028086805231919937,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.020846889461350885,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224193,0.002740988772897388,0.0,0.3,175357952.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0015971213369883038,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,38.75432525951557,20.140794654575824,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020785366971317488,0.0,0.3,402903040.0,786432000.0,0.0,0.0,211.51251963411252,718.4329668298992,0.0011830532963578123,0.0,0.3,16707584.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,220.83483591777858,798.8189686260367,0.0015403546015818395,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004807319833981626,0.0,0.5,95703040.0,536870912.0,0.0,3364.3105228574113,2.072456197274497,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,17.44731922221104,33.571618977334985,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,299.69889179509534,329.3710257626655,0.0023285248849168093,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1014.5414687614175,1683.8143953233466,0.02126866714954999,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224194,0.012308978596159875,0.12903225806451613,0.3,172580864.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.6963761556472486,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0015971213369883038,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,38.75432525951557,20.140794654575824,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020811165606143046,0.0,0.3,402903040.0,786432000.0,0.0,0.0,211.51251963411252,718.4329668298992,0.0011278726227336527,0.0,0.3,16711680.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,220.83483591777858,798.8189686260367,0.0015403546015818395,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004807319833981626,0.0,0.5,95703040.0,536870912.0,0.0,3364.3105228574113,2.1258126036484244,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,17.801215435018392,34.25257567117283,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,305.8933853886196,336.17881439597915,0.002281713542863609,0.0,0.25,11739136.0,268435456.0,0.0,0.0,1333.7223329733065,2213.5525582471837,0.025306661291946142,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224195,0.012308978596159875,0.12903225806451613,0.3,172580864.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.5985411089134406,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0015971213369883038,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,38.75432525951557,20.140794654575824,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020811165606143046,0.0,0.3,402903040.0,786432000.0,0.0,0.0,211.51251963411252,718.4329668298992,0.0011278726227336527,0.0,0.3,16711680.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1638.4728210142673,220.83483591777858,798.8189686260367,0.0015403546015818395,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004694993119978604,0.0,0.5,95440896.0,536870912.0,0.0,3364.3105228574113,2.179169010022352,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,18.155111647825745,34.93353236501068,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,312.08787898214393,342.98660302929284,0.0032689109831961806,0.0,0.25,11476992.0,268435456.0,0.0,0.0,1362.2858262613795,2260.958822712544,0.025306661291946142,0.0,1.0,100007936.0,536870912.0,0.0,0.0,8.892433456285515,7.097996211743595
1782224196,0.012308978596159875,0.12903225806451613,0.3,172580864.0,1048576000.0,0.0,0.0,5436.866012379674,17374.54399962343,0.0009096612786583958,0.0,0.1,14098432.0,104857600.0,,,1449.870641298624,1460.723035006983,0.586934839652653,1.0,0.7,494092288.0,1073741824.0,0.0,0.0,1996.6757965212914,4.494697661352624,0.0015971213369883038,0.0,0.7,465915904.0,1073741824.0,0.0,0.0,38.75432525951557,20.140794654575824,0.000812613212850555,0.0,0.1,4628480.0,104857600.0,,,298.8900280836268,386.4619087950787,0.0020811165606143046,0.0,0.3,402903040.0,786432000.0,0.0,0.0,211.51251963411252,718.4329668298992,0.0011278726227336527,0.0,0.3,16711680.0,1048576000.0,0.0,0.0,722.8319864913761,829.4335222932496,0.0022813504823164647,0.0,0.3,396292096.0,1048576000.0,0.0,1663.1138721400007,220.83483591777858,798.8189686260367,0.0015403546015818395,0.0,0.3,281026560.0,1048576000.0,0.0,0.0,0.0,0.0,0.004694993119978604,0.0,0.5,95440896.0,536870912.0,0.0,3364.3105228574113,1.85,0.0,0.005070126541074731,0.0,0.5,86876160.0,536870912.0,0.0,3330.4284374022727,21.23377276844118,40.85740163027071,0.006716602753504331,0.0,0.3,53391360.0,1048576000.0,0.0,1785.2161785216176,318.2823725756682,349.79439166260653,0.0032689109831961806,0.0,0.25,11476992.0,268435456.0,0.0,0.0,1390.8493195494523,2308.3650871779046,0.025306661291946142,0.0,1.0,100007936.0,536870912.0,0.0,0.0,9.78067575577949,7.350326022525192
